iter	Passed	Remaining
407	4547	6598
408	4558	6586
409	4567	6572
410	4573	6554
411	4583	6541
412	4597	6533
413	4601	6513
414	4613	6503
415	4619	6485
416	4635	6480
417	4647	6471
418	4653	6452
419	4666	6444
420	4672	6425
421	4678	6408
422	4687	6394
423	4693	6376
424	4696	6354
425	4711	6347
426	4725	6341
427	4733	6325
428	4739	6308
429	4754	6302
430	4768	6295
431	4782	6288
432	4791	6273
433	4801	6261
434	4816	6256
435	4824	6241
436	4829	6221
437	4839	6209
438	4844	6190
439	4850	6173
440	4866	6168
441	4881	6163
442	4898	6158
443	4911	6150
444	4925	6143
445	4934	6129
446	4948	6122
447	4958	6109
448	4968	6096
449	4976	6082
450	4983	6066
451	4998	6060
452	5006	6045
453	5021	6039
454	5032	6027
455	5039	6012
456	5055	6006
457	5061	5989
458	5076	5983
459	5086	5971
460	5104	5968
461	5122	5965
462	5139	5960
463	5155	5955
464	5164	5942
465	5170	5924
466	5184	5916
467	5191	5901
468	5195	5881
469	5198	5861
470	5201	5841
471	5214	5832
472	5231	5828
473	5239	5814
474	5246	5798
475	5251	5780
476	5264	5772
477	5279	5765
478	5296	5761
479	5312	5754
480	5323	5743
481	5333	5731
482	5348	5724
483	5359	5714
484	5375	5708
485	5384	5694
486	5400	5689
487	5408	5674
488	5423	5667
489	5433	5654
490	5442	5642
491	5456	5633
492	5473	5629
493	5488	5622
494	5504	5615
495	5520	5609
496	5534	5601
497	5548	5593
498	5555	5578
499	5570	5570
500	5586	5563
501	5594	5550
502	5603	5536
503	5609	5520
504	5616	5505
505	5633	5500
506	5650	5494
507	5660	5482
508	5673	5473
509	5681	5458
510	5687	5442
511	5695	5428
512	5712	5422
513	5719	5407
514	5733	5399
515	5750	5393
516	5756	5378
517	5764	5363
518	5781	5358
519	5790	5344
520	5807	5339
521	5827	5335
522	5838	5324
523	5854	5318
524	5860	5302
525	5865	5285
526	5874	5272
527	5889	5265
528	5912	5264
529	5920	5250
530	5931	5239
531	5940	5225
532	5952	5215
533	5962	5203
534	5968	5187
535	5982	5179
536	5992	5166
537	5999	5151
538	6015	5145
539	6023	5131
540	6031	5117
541	6038	5102
542	6046	5089
543	6052	5073
544	6061	5060
545	6067	5044
546	6070	5027
547	6081	5016
548	6088	5001
549	6104	4994
550	6110	4979
551	6117	4964
552	6122	4948
553	6126	4931
554	6131	4916
555	6137	4900
556	6175	4911
557	6192	4905
558	6199	4890
559	6205	4875
560	6211	4860
561	6225	4851
562	6233	4838
563	6248	4830
564	6265	4823
565	6279	4814
566	6284	4799
567	6297	4789
568	6312	4781
569	6321	4768
570	6336	4760
571	6352	4753
572	6362	4741
573	6372	4729
574	6386	4720
575	6402	4712
576	6420	4706
577	6436	4699
578	6449	4689
579	6456	4675
580	6473	4668
581	6483	4656
582	6500	4649
583	6509	4636
584	6520	4625
585	6532	4615
586	6543	4603
587	6554	4592
588	6561	4578
589	6575	4569
590	6591	4561
591	6600	4548
592	6615	4540
593	6623	4527
594	6639	4519
595	6654	4510
596	6669	4501
597	6672	4485
598	6686	4476
599	6696	4464
600	6704	4450
601	6709	4435
602	6722	4426
603	6735	4416
604	6740	4400
605	6744	4384
606	6751	4371
607	6767	4362
608	6782	4354
609	6799	4346
610	6811	4336
611	6814	4320
612	6818	4304
613	6822	4288
614	6825	4273
615	6839	4263
616	6861	4258
617	6877	4251
618	6885	4238
619	6905	4232
620	6928	4228
621	6941	4218
622	6949	4205
623	6957	4192
624	6972	4183
625	6977	4168
626	6990	4158
627	7005	4149
628	7020	4140
629	7036	4132
630	7048	4121
631	7052	4106
632	7066	4096
633	7081	4088
634	7096	4079
635	7105	4066
636	7116	4055
637	7121	4040
638	7134	4030
639	7145	4019
640	7162	4011
641	7174	4000
642	7186	3990
643	7202	3981
644	7215	3971
645	7229	3961
646	7244	3952
647	7258	3942
648	7271	3932
649	7285	3923
650	7298	3912
651	7305	3899
652	7313	3886
653	7329	3877
654	7343	3867
655	7350	3854
656	7364	3844
657	7370	3831
658	7385	3821
659	7399	3811
660	7414	3802
661	7429	3793
662	7444	3784
663	7452	3771
664	7459	3758
665	7469	3746
666	7485	3737
667	7489	3722
668	7492	3707
669	7500	3694
670	7514	3684
671	7525	3673
672	7531	3659
673	7538	3646
674	7554	3637
675	7562	3624
676	7567	3610
677	7578	3599
678	7586	3586
679	7599	3576
680	7616	3567
681	7632	3558
682	7647	3549
683	7654	3536
684	7659	3522
685	7668	3510
686	7676	3497
687	7680	3483
688	7685	3469
689	7701	3460
690	7717	3450
691	7725	3438
692	7729	3424
693	7734	3410
694	7742	3397
695	7757	3388
696	7774	3379
697	7779	3366
698	7791	3355
699	7803	3344
700	7812	3332
701	7827	3322
702	7836	3310
703	7852	3301
704	7869	3292
705	7886	3284
706	7893	3271
707	7920	3266
708	7929	3254
709	7935	3241
710	7944	3229
711	7951	3216
712	7963	3205
713	7980	3196
714	7987	3183
715	8000	3173
716	8009	3161
717	8018	3149
718	8029	3138
719	8046	3129
720	8061	3119
721	8072	3108
722	8085	3097
723	8101	3088
724	8116	3078
725	8124	3066
726	8131	3053
727	8138	3040
728	8144	3027
729	8149	3014
730	8158	3002
731	8169	2991
732	8184	2981
733	8199	2971
734	8211	2960
735	8219	2948
736	8235	2938
737	8251	2929
738	8262	2918
739	8277	2908
740	8294	2899
741	8307	2888
742	8319	2877
743	8328	2865
744	8337	2853
745	8345	2841
746	8359	2831
747	8372	2820
748	8386	2810
749	8403	2801
750	8409	2788
751	8416	2775
752	8430	2765
753	8439	2753
754	8449	2741
755	8454	2728
756	8467	2718
757	8482	2708
758	8491	2696
759	8499	2683
760	8503	2670
761	8511	2658
762	8516	2645
763	8526	2633
764	8535	2621
765	8545	2610
766	8553	2598
767	8564	2587
768	8570	2574
769	8583	2563
770	8590	2551
771	8595	2538
772	8598	2525
773	8604	2512
774	8609	2499
775	8615	2487
776	8631	2477
777	8648	2467
778	8664	2458
779	8672	2446
780	8680	2434
781	8686	2421
782	8692	2409
783	8701	2397
784	8716	2387
785	8725	2375
786	8734	2363
787	8749	2353
788	8763	2343
789	8771	2331
790	8781	2320
791	8788	2308
792	8799	2296
793	8816	2287
794	8827	2276
795	8842	2266
796	8856	2255
797	8874	2246
798	8887	2235
799	8903	2225
800	8933	2219
801	8948	2209
802	8960	2198
803	8976	2188
804	8992	2178
805	9003	2167
806	9018	2156
807	9025	2144
808	9040	2134
809	9048	2122
810	9053	2109
811	9056	2096
812	9070	2086
813	9080	2074
814	9087	2062
815	9102	2052
816	9110	2040
817	9118	2028
818	9126	2016
819	9141	2006
820	9158	1996
821	9167	1985
822	9182	1974
823	9188	1962
824	9194	1950
825	9209	1940
826	9219	1928
827	9228	1917
828	9243	1906
829	9261	1896
830	9266	1884
831	9279	1873
832	9284	1861
833	9287	1848
834	9298	1837
835	9312	1826
836	9328	1816
837	9333	1804
838	9345	1793
839	9351	1781
840	9358	1769
841	9363	1757
842	9374	1745
843	9383	1734
844	9387	1722
845	9393	1709
846	9401	1698
847	9407	1686
848	9423	1676
849	9429	1664
850	9443	1653
851	9459	1643
852	9465	1631
853	9478	1620
854	9484	1608
855	9490	1596
856	9497	1584
857	9504	1572
858	9514	1561
859	9520	1549
860	9525	1537
861	9538	1527
862	9545	1515
863	9560	1504
864	9576	1494
865	9591	1484
866	9598	1472
867	9614	1462
868	9628	1451
869	9645	1441
870	9661	1430
871	9677	1420
872	9685	1409
873	9692	1397
874	9706	1386
875	9711	1374
876	9714	1362
877	9720	1350
878	9732	1339
879	9749	1329
880	9766	1319
881	9783	1308
882	9794	1297
883	9808	1287
884	9826	1276
885	9843	1266
886	9850	1254
887	9866	1244
888	9879	1233
889	9884	1221
890	9899	1210
891	9933	1202
892	9950	1192
893	9955	1180
894	9959	1168
895	9962	1156
896	9975	1145
897	9989	1134
898	10001	1123
899	10006	1111
900	10020	1101
901	10036	1090
902	10053	1079
903	10059	1068
904	10074	1057
905	10080	1045
906	10087	1034
907	10094	1022
908	10114	1012
909	10125	1001
910	10132	989
911	10137	978
912	10140	966
913	10154	955
914	10165	944
