iter	MultiClass
0	1.672397808
1	1.671138516
2	1.502285189
3	1.374286899
4	1.373431585
5	1.274108911
6	1.172484252
7	1.092387216
8	1.05220082
9	0.9853629819
10	0.9260206657
11	0.9122717168
12	0.8571917808
13	0.8334879519
14	0.7849814292
15	0.7846941151
16	0.7364140998
17	0.7015586276
18	0.6626963181
19	0.634147611
20	0.6269728178
21	0.5987784287
22	0.5725126805
23	0.5475618815
24	0.5266753146
25	0.5098021134
26	0.4888862291
27	0.4789028983
28	0.4640143252
29	0.4501678716
30	0.4396091871
31	0.4319942337
32	0.4191076164
33	0.405047761
34	0.4049916816
35	0.3935482914
36	0.3935019653
37	0.3879787479
38	0.3761887211
39	0.3642893419
40	0.3525653973
41	0.3410233364
42	0.3379409354
43	0.3293512583
44	0.3252387309
45	0.3200887589
46	0.320069724
47	0.3152836913
48	0.3152683892
49	0.3067440801
50	0.3022433306
51	0.2949112653
52	0.2886729251
53	0.2810595881
54	0.2749284294
55	0.2749197097
56	0.2685048196
57	0.2632152071
58	0.2617090622
59	0.2571877858
60	0.2536206416
61	0.2487495127
62	0.2441703269
63	0.2396065939
64	0.2360778792
65	0.2360747942
66	0.2332082101
67	0.229029514
68	0.2252489413
69	0.2227481907
70	0.2200372197
71	0.2168445492
72	0.2132102019
73	0.2116238723
74	0.2090907072
75	0.2078039071
76	0.2057191647
77	0.2035127965
78	0.201780521
79	0.1997521922
80	0.1976794893
81	0.1954318491
82	0.1946980134
83	0.1939996117
84	0.1939989613
85	0.191959407
86	0.1897440376
87	0.1886676664
88	0.1886671573
89	0.1868565531
90	0.1861374837
91	0.1861370546
92	0.1856191485
93	0.1844523429
94	0.1830970794
95	0.1820715766
96	0.1808037224
97	0.1801241681
98	0.1801238265
99	0.1793229194
100	0.1790403748
101	0.1777707553
102	0.1761533982
103	0.1752810904
104	0.1744345973
105	0.1735552791
106	0.1727095614
107	0.1716509446
108	0.1709916356
109	0.1699492102
110	0.1690766274
111	0.1681850431
112	0.1674183055
113	0.1674179218
114	0.1667196436
115	0.1662988753
116	0.1661319884
117	0.1649029478
118	0.1641679059
119	0.1638658422
120	0.1632924091
121	0.162305508
122	0.1621035373
123	0.1618461202
124	0.1614061322
125	0.1607925032
126	0.1601292521
127	0.1595699547
128	0.1595696049
129	0.1595158219
130	0.1595155498
131	0.1588385697
132	0.15795649
133	0.1574254036
134	0.1570282342
135	0.1566036269
136	0.1566032929
137	0.1561475818
138	0.1555776868
139	0.1550544329
140	0.1545525058
141	0.1545521696
142	0.1540711628
143	0.1536928145
144	0.1535176669
145	0.1532059249
146	0.1532056202
147	0.1526666247
148	0.1523489483
149	0.1521703954
150	0.1518294266
151	0.1512983621
152	0.1509192005
153	0.1504801977
154	0.1500647563
155	0.1496104514
156	0.1493205468
157	0.1493202369
158	0.148893768
159	0.1485978658
160	0.1481148139
161	0.1480150981
162	0.147635714
163	0.1476354115
164	0.1474478099
165	0.1472711278
166	0.1467999506
167	0.1463147909
168	0.1459283378
169	0.1459013158
170	0.1455419546
171	0.1452318223
172	0.1452315927
173	0.1450884054
174	0.1448680503
175	0.1446428982
176	0.1445528844
177	0.1442497449
178	0.1441953206
179	0.143913902
180	0.1436558415
181	0.1432638083
182	0.1431276342
183	0.1430701866
184	0.1428314803
185	0.1427852923
186	0.1424601753
187	0.1420804263
188	0.141823277
189	0.1414340332
190	0.1411930695
191	0.1410381135
192	0.1406721605
193	0.1405533093
194	0.1402812266
195	0.1400596267
196	0.1399828081
197	0.1399327782
198	0.1396904237
199	0.1393616834
200	0.1391597426
201	0.1388394211
202	0.1386579594
203	0.1386577653
204	0.1386204432
205	0.1382624396
206	0.1382177402
207	0.1379254642
208	0.1377158382
209	0.1374940101
210	0.1373038788
211	0.1373037643
212	0.1372551578
213	0.1371836923
214	0.1371835942
215	0.1371835067
216	0.1371609864
217	0.1371284974
218	0.1369062835
219	0.1368714219
220	0.1366499475
221	0.1364244423
222	0.1364098829
223	0.136254167
224	0.1361444785
225	0.1360945459
226	0.1360944738
227	0.135919481
228	0.1359194163
